행정구역별,시군구별,유형별,병상수,기관수
서울,소계,상급종합,소계,14
서울,소계,종합병원,500병상이상,9
서울,소계,종합병원,300~499병상,11
서울,소계,종합병원,100~299병상,22
서울,종로구,상급종합,소계,2
서울,종로구,종합병원,100~299병상,2
서울,중구,종합병원,300~499병상,2
서울,중구,종합병원,100~299병상,1
서울,용산구,종합병원,500병상이상,1
서울,성동구,상급종합,소계,1
서울,광진구,상급종합,소계,1
서울,광진구,종합병원,100~299병상,1
서울,동대문구,상급종합,소계,1
서울,동대문구,종합병원,300~499병상,2
서울,동대문구,종합병원,100~299병상,2
서울,중랑구,종합병원,500병상이상,1
서울,중랑구,종합병원,300~499병상,1
서울,성북구,상급종합,소계,1
서울,강북구,종합병원,100~299병상,1
서울,도봉구,종합병원,300~499병상,1
서울,노원구,종합병원,500병상이상,2
서울,노원구,종합병원,300~499병상,1
서울,은평구,종합병원,100~299병상,1
서울,서대문구,상급종합,소계,1
서울,서대문구,종합병원,100~299병상,1
서울,양천구,상급종합,소계,1
서울,양천구,종합병원,300~499병상,1
서울,강서구,종합병원,100~299병상,3
서울,구로구,상급종합,소계,1
서울,구로구,종합병원,100~299병상,1
서울,금천구,종합병원,100~299병상,1
서울,영등포구,종합병원,500병상이상,1
서울,영등포구,종합병원,300~499병상,2
서울,영등포구,종합병원,100~299병상,4
서울,동작구,상급종합,소계,1
서울,동작구,종합병원,500병상이상,1
서울,관악구,종합병원,100~299병상,2
서울,서초구,상급종합,소계,1
서울,강남구,상급종합,소계,2
서울,강남구,종합병원,100~299병상,2
서울,송파구,상급종합,소계,1
서울,송파구,종합병원,300~499병상,1
서울,강동구,종합병원,500병상이상,3
부산,소계,상급종합,소계,4
부산,소계,종합병원,500병상이상,3
부산,소계,종합병원,300~499병상,10
부산,소계,종합병원,100~299병상,11
부산,중구,종합병원,300~499병상,1
부산,서구,상급종합,소계,3
부산,서구,종합병원,100~299병상,1
부산,동구,종합병원,300~499병상,1
부산,동구,종합병원,100~299병상,2
부산,영도구,종합병원,100~299병상,2
부산,부산진구,상급종합,소계,1
부산,부산진구,종합병원,300~499병상,2
부산,부산진구,종합병원,100~299병상,1
부산,동래구,종합병원,300~499병상,1
부산,동래구,종합병원,100~299병상,2
부산,남구,종합병원,300~499병상,1
부산,북구,종합병원,300~499병상,1
부산,해운대구,종합병원,500병상이상,1
부산,해운대구,종합병원,100~299병상,1
부산,금정구,종합병원,300~499병상,1
부산,연제구,종합병원,500병상이상,1
부산,수영구,종합병원,300~499병상,1
부산,수영구,종합병원,100~299병상,1
부산,사상구,종합병원,500병상이상,1
부산,사상구,종합병원,300~499병상,1
부산,기장군,종합병원,100~299병상,1
대구,소계,상급종합,소계,4
대구,소계,종합병원,500병상이상,3
대구,소계,종합병원,300~499병상,1
대구,소계,종합병원,100~299병상,4
대구,중구,상급종합,소계,2
대구,중구,종합병원,100~299병상,1
대구,동구,종합병원,500병상이상,1
대구,서구,종합병원,500병상이상,1
대구,남구,상급종합,소계,2
대구,북구,종합병원,500병상이상,1
대구,북구,종합병원,100~299병상,1
대구,수성구,종합병원,100~299병상,1
대구,달서구,종합병원,300~499병상,1
대구,달서구,종합병원,100~299병상,1
인천,소계,상급종합,소계,3
인천,소계,종합병원,500병상이상,1
인천,소계,종합병원,300~499병상,6
인천,소계,종합병원,100~299병상,9
인천,중구,상급종합,소계,1
인천,중구,종합병원,100~299병상,2
인천,동구,종합병원,100~299병상,2
인천,남구,종합병원,300~499병상,2
인천,연수구,종합병원,300~499병상,1
인천,연수구,종합병원,100~299병상,1
인천,남동구,상급종합,소계,1
인천,부평구,상급종합,소계,1
인천,부평구,종합병원,300~499병상,1
인천,부평구,종합병원,100~299병상,1
인천,계양구,종합병원,300~499병상,1
인천,서구,종합병원,500병상이상,1
인천,서구,종합병원,300~499병상,1
인천,서구,종합병원,100~299병상,3
광주,소계,상급종합,소계,2
광주,소계,종합병원,500병상이상,3
광주,소계,종합병원,300~499병상,1
광주,소계,종합병원,100~299병상,16
광주,동구,상급종합,소계,2
광주,동구,종합병원,100~299병상,1
광주,서구,종합병원,500병상이상,1
광주,서구,종합병원,100~299병상,4
광주,남구,종합병원,500병상이상,1
광주,남구,종합병원,100~299병상,2
광주,북구,종합병원,100~299병상,5
광주,광산구,종합병원,500병상이상,1
광주,광산구,종합병원,300~499병상,1
광주,광산구,종합병원,100~299병상,4
대전,소계,상급종합,소계,1
대전,소계,종합병원,500병상이상,3
대전,소계,종합병원,300~499병상,2
대전,소계,종합병원,100~299병상,4
대전,동구,종합병원,100~299병상,1
대전,중구,상급종합,소계,1
대전,중구,종합병원,500병상이상,1
대전,중구,종합병원,300~499병상,1
대전,서구,종합병원,500병상이상,2
대전,서구,종합병원,100~299병상,1
대전,유성구,종합병원,100~299병상,1
대전,대덕구,종합병원,300~499병상,1
대전,대덕구,종합병원,100~299병상,1
울산,소계,상급종합,소계,1
울산,소계,종합병원,500병상이상,1
울산,소계,종합병원,100~299병상,5
울산,중구,종합병원,500병상이상,1
울산,남구,종합병원,100~299병상,3
울산,동구,상급종합,소계,1
울산,북구,종합병원,100~299병상,1
울산,울주군,종합병원,100~299병상,1
경기,소계,상급종합,소계,5
경기,소계,종합병원,500병상이상,13
경기,소계,종합병원,300~499병상,12
경기,소계,종합병원,100~299병상,28
경기,수원시장안구,종합병원,100~299병상,1
경기,수원시팔달구,종합병원,500병상이상,1
경기,수원시팔달구,종합병원,300~499병상,1
경기,수원시영통구,상급종합,소계,1
경기,성남시수정구,종합병원,100~299병상,1
경기,성남시중원구,종합병원,100~299병상,1
경기,성남시분당구,상급종합,소계,1
경기,성남시분당구,종합병원,500병상이상,3
경기,의정부시,종합병원,500병상이상,1
경기,의정부시,종합병원,100~299병상,2
경기,안양시만안구,종합병원,300~499병상,1
경기,안양시만안구,종합병원,100~299병상,1
경기,안양시동안구,상급종합,소계,1
경기,안양시동안구,종합병원,100~299병상,1
경기,부천시원미구,상급종합,소계,1
경기,부천시원미구,종합병원,500병상이상,1
경기,부천시원미구,종합병원,100~299병상,2
경기,부천시소사구,종합병원,300~499병상,1
경기,광명시,종합병원,300~499병상,1
경기,평택시,종합병원,300~499병상,1
경기,평택시,종합병원,100~299병상,3
경기,안산시상록구,종합병원,300~499병상,1
경기,안산시단원구,상급종합,소계,1
경기,안산시단원구,종합병원,300~499병상,1
경기,안산시단원구,종합병원,100~299병상,1
경기,고양시덕양구,종합병원,500병상이상,1
